class_name,class_name_description
ARGF,"
      
ARGF is a stream designed for use in scripts that process
files given as command-line arguments or passed in via STDIN.

The arguments passed to your script are stored in the ARGV Array, one argument per element. ARGF
assumes that any arguments that aren't filenames have been removed from
ARGV. For example:

$ ruby argf.rb --verbose file1 file2

ARGV  #=> [""--verbose"", ""file1"", ""file2""]
option = ARGV.shift #=> ""--verbose""
ARGV  #=> [""file1"", ""file2""]

You can now use ARGF to work with a concatenation of each of
these named files. For instance, ARGF.read will return the
contents of file1 followed by the contents of file2.

After a file in ARGV has been read ARGF removes
it from the Array. Thus, after all files have been
read ARGV will be empty.

You can manipulate ARGV yourself to control what
ARGF operates on. If you remove a file from ARGV,
it is ignored by ARGF; if you add files to ARGV,
they are treated as if they were named on the command line. For example:

ARGV.replace [""file1""]
ARGF.readlines # Returns the contents of file1 as an Array
ARGV           #=> []
ARGV.replace [""file2"", ""file3""]
ARGF.read      # Returns the contents of file2 and file3


If ARGV is empty, ARGF acts as if it contained
STDIN, i.e. the data piped to your script. For example:

$ echo ""glark"" | ruby -e 'p ARGF.read'
""glark\n""

    "
ArgumentError,"
      
Raised when the arguments are wrong and there isn't a more specific Exception class.

Ex: passing the wrong number of arguments

[1, 2, 3].first(4, 5)


raises the exception:

ArgumentError: wrong number of arguments (given 2, expected 1)

Ex: passing an argument that is not acceptable:

[1, 2, 3].first(-4)


raises the exception:

ArgumentError: negative array size

    "
Array,"
      
Arrays are ordered, integer-indexed collections of any object.

Array indexing starts at 0, as in C or Java.  A
negative index is assumed to be relative to the end of the array---that is,
an index of -1 indicates the last element of the array, -2 is the next to
last element in the array, and so on.

Creating Arrays¶ ↑

A new array can be created by using the literal constructor
[].  Arrays can contain different types of objects.  For
example, the array below contains an Integer, a
String and a Float:

ary = [1, ""two"", 3.0] #=> [1, ""two"", 3.0]


An array can also be created by explicitly calling ::new with zero, one (the initial size
of the Array) or two arguments (the initial size
and a default object).

ary = Array.new    #=> []
Array.new(3)       #=> [nil, nil, nil]
Array.new(3, true) #=> [true, true, true]


Note that the second argument populates the array with references to the
same object.  Therefore, it is only recommended in cases when you need to
instantiate arrays with natively immutable objects such as Symbols,
numbers, true or false.

To create an array with separate objects a block can be passed instead.
This method is safe to use with mutable objects such as hashes, strings or
other arrays:

Array.new(4) { Hash.new }  #=> [{}, {}, {}, {}]
Array.new(4) {|i| i.to_s } #=> [""0"", ""1"", ""2"", ""3""]


This is also a quick way to build up multi-dimensional arrays:

empty_table = Array.new(3) { Array.new(3) }
#=> [[nil, nil, nil], [nil, nil, nil], [nil, nil, nil]]


An array can also be created by using the Array() method, provided by Kernel, which tries to call to_ary, then to_a on its argument.

Array({:a => ""a"", :b => ""b""}) #=> [[:a, ""a""], [:b, ""b""]]


Example Usage¶ ↑

In addition to the methods it mixes in through the Enumerable module, the Array class has proprietary methods for accessing,
searching and otherwise manipulating arrays.

Some of the more common ones are illustrated below.

Accessing Elements¶ ↑

Elements in an array can be retrieved using the #[] method.  It can take a single
integer argument (a numeric index), a pair of arguments (start and length)
or a range. Negative indices start counting from the end, with -1 being the
last element.

arr = [1, 2, 3, 4, 5, 6]
arr[2]    #=> 3
arr[100]  #=> nil
arr[-3]   #=> 4
arr[2, 3] #=> [3, 4, 5]
arr[1..4] #=> [2, 3, 4, 5]
arr[1..-3] #=> [2, 3, 4]


Another way to access a particular array element is by using the at method

arr.at(0) #=> 1


The slice method works in an
identical manner to #[].

To raise an error for indices outside of the array bounds or else to
provide a default value when that happens, you can use fetch.

arr = ['a', 'b', 'c', 'd', 'e', 'f']
arr.fetch(100) #=> IndexError: index 100 outside of array bounds: -6...6
arr.fetch(100, ""oops"") #=> ""oops""


The special methods first and last will return the first and last
elements of an array, respectively.

arr.first #=> 1
arr.last  #=> 6


To return the first n elements of an array, use take

arr.take(3) #=> [1, 2, 3]


drop does the opposite of take, by returning the elements after
n elements have been dropped:

arr.drop(3) #=> [4, 5, 6]


Obtaining Information about an Array¶ ↑

Arrays keep track of their own length at all times.  To query an array
about the number of elements it contains, use length, count or size.

browsers = ['Chrome', 'Firefox', 'Safari', 'Opera', 'IE']
browsers.length #=> 5
browsers.count #=> 5


To check whether an array contains any elements at all

browsers.empty? #=> false


To check whether a particular item is included in the array

browsers.include?('Konqueror') #=> false


Adding Items to Arrays¶ ↑

Items can be added to the end of an array by using either push or <<

arr = [1, 2, 3, 4]
arr.push(5) #=> [1, 2, 3, 4, 5]
arr << 6    #=> [1, 2, 3, 4, 5, 6]


unshift will add a new item to
the beginning of an array.

arr.unshift(0) #=> [0, 1, 2, 3, 4, 5, 6]


With insert you can add a new
element to an array at any position.

arr.insert(3, 'apple')  #=> [0, 1, 2, 'apple', 3, 4, 5, 6]


Using the insert method, you can
also insert multiple values at once:

arr.insert(3, 'orange', 'pear', 'grapefruit')
#=> [0, 1, 2, ""orange"", ""pear"", ""grapefruit"", ""apple"", 3, 4, 5, 6]


Removing Items from an Array¶ ↑

The method pop removes the last
element in an array and returns it:

arr =  [1, 2, 3, 4, 5, 6]
arr.pop #=> 6
arr #=> [1, 2, 3, 4, 5]


To retrieve and at the same time remove the first item, use shift:

arr.shift #=> 1
arr #=> [2, 3, 4, 5]


To delete an element at a particular index:

arr.delete_at(2) #=> 4
arr #=> [2, 3, 5]


To delete a particular element anywhere in an array, use delete:

arr = [1, 2, 2, 3]
arr.delete(2) #=> 2
arr #=> [1,3]


A useful method if you need to remove nil values from an array
is compact:

arr = ['foo', 0, nil, 'bar', 7, 'baz', nil]
arr.compact  #=> ['foo', 0, 'bar', 7, 'baz']
arr          #=> ['foo', 0, nil, 'bar', 7, 'baz', nil]
arr.compact! #=> ['foo', 0, 'bar', 7, 'baz']
arr          #=> ['foo', 0, 'bar', 7, 'baz']


Another common need is to remove duplicate elements from an array.

It has the non-destructive uniq, and
destructive method uniq!

arr = [2, 5, 6, 556, 6, 6, 8, 9, 0, 123, 556]
arr.uniq #=> [2, 5, 6, 556, 8, 9, 0, 123]


Iterating over Arrays¶ ↑

Like all classes that include the Enumerable
module, Array has an each method, which defines
what elements should be iterated over and how.  In case of Array’s each, all elements in the Array instance are yielded to the supplied block in
sequence.

Note that this operation leaves the array unchanged.

arr = [1, 2, 3, 4, 5]
arr.each { |a| print a -= 10, "" "" }
# prints: -9 -8 -7 -6 -5
#=> [1, 2, 3, 4, 5]


Another sometimes useful iterator is reverse_each which will iterate
over the elements in the array in reverse order.

words = %w[first second third fourth fifth sixth]
str = """"
words.reverse_each { |word| str += ""#{word} "" }
p str #=> ""sixth fifth fourth third second first ""


The map method can be used to create
a new array based on the original array, but with the values modified by
the supplied block:

arr.map { |a| 2*a }   #=> [2, 4, 6, 8, 10]
arr                   #=> [1, 2, 3, 4, 5]
arr.map! { |a| a**2 } #=> [1, 4, 9, 16, 25]
arr                   #=> [1, 4, 9, 16, 25]


Selecting Items from an Array¶ ↑

Elements can be selected from an array according to criteria defined in a
block.  The selection can happen in a destructive or a non-destructive
manner.  While the destructive operations will modify the array they were
called on, the non-destructive methods usually return a new array with the
selected elements, but leave the original array unchanged.

Non-destructive Selection¶ ↑

arr = [1, 2, 3, 4, 5, 6]
arr.select { |a| a > 3 }     #=> [4, 5, 6]
arr.reject { |a| a < 3 }     #=> [3, 4, 5, 6]
arr.drop_while { |a| a < 4 } #=> [4, 5, 6]
arr                          #=> [1, 2, 3, 4, 5, 6]


Destructive Selection¶ ↑

select! and reject! are the corresponding
destructive methods to select and
reject

Similar to select vs. reject, delete_if and keep_if have the exact opposite
result when supplied with the same block:

arr.delete_if { |a| a < 4 } #=> [4, 5, 6]
arr                         #=> [4, 5, 6]

arr = [1, 2, 3, 4, 5, 6]
arr.keep_if { |a| a < 4 } #=> [1, 2, 3]
arr                       #=> [1, 2, 3]


    "
BasicObject,"
      
BasicObject is the parent class of all
classes in Ruby.  It's an explicit blank class.

BasicObject can be used for creating object
hierarchies independent of Ruby's object hierarchy, proxy objects like the
Delegator class, or other uses where namespace pollution from Ruby's
methods and classes must be avoided.

To avoid polluting BasicObject for other
users an appropriately named subclass of BasicObject should be created instead of
directly modifying BasicObject:

class MyObjectSystem < BasicObject
end


BasicObject does not include Kernel (for methods like puts) and BasicObject is outside of the namespace of the
standard library so common classes will not be found without using a full
class path.

A variety of strategies can be used to provide useful portions of the
standard library to subclasses of BasicObject.  A subclass could include
Kernel to obtain puts, exit, etc.  A
custom Kernel-like module could be created and included or delegation can
be used via method_missing:

class MyObjectSystem < BasicObject
  DELEGATE = [:puts, :p]

  def method_missing(name, *args, &block)
    super unless DELEGATE.include? name
    ::Kernel.send(name, *args, &block)
  end

  def respond_to_missing?(name, include_private = false)
    DELEGATE.include?(name) or super
  end
end


Access to classes and modules from the Ruby standard library can be
obtained in a BasicObject subclass by
referencing the desired constant from the root like ::File or
::Enumerator. Like method_missing,
const_missing can be used to delegate constant lookup to
Object:

class MyObjectSystem < BasicObject
  def self.const_missing(name)
    ::Object.const_get(name)
  end
end


    "
Binding,"
      
Objects of class Binding encapsulate the execution context at
some particular place in the code and retain this context for future use.
The variables, methods, value of self, and possibly an
iterator block that can be accessed in this context are all retained. Binding objects can be created using
Kernel#binding, and are made available to the callback of
Kernel#set_trace_func.

These binding objects can be passed as the second argument of the
Kernel#eval method, establishing an environment for the
evaluation.

class Demo
  def initialize(n)
    @secret = n
  end
  def get_binding
    binding
  end
end

k1 = Demo.new(99)
b1 = k1.get_binding
k2 = Demo.new(-3)
b2 = k2.get_binding

eval(""@secret"", b1)   #=> 99
eval(""@secret"", b2)   #=> -3
eval(""@secret"")       #=> nil


Binding objects have no class-specific methods.

    "
Class,"
      
Classes in Ruby are first-class objects---each is an instance of class
Class.

Typically, you create a new class by using:

class Name
 # some code describing the class behavior
end


When a new class is created, an object of type Class is initialized and assigned to a global
constant (Name in this case).

When Name.new is called to create a new object, the
new method in Class is run by default. This can
be demonstrated by overriding new in Class:

class Class
  alias old_new new
  def new(*args)
    print ""Creating a new "", self.name, ""\n""
    old_new(*args)
  end
end

class Name
end

n = Name.new


produces:

Creating a new Name


Classes, modules, and objects are interrelated. In the diagram that
follows, the vertical arrows represent inheritance, and the parentheses
metaclasses. All metaclasses are instances of the class `Class'.

                         +---------+             +-...
                         |         |             |
         BasicObject-----|-->(BasicObject)-------|-...
             ^           |         ^             |
             |           |         |             |
          Object---------|----->(Object)---------|-...
             ^           |         ^             |
             |           |         |             |
             +-------+   |         +--------+    |
             |       |   |         |        |    |
             |    Module-|---------|--->(Module)-|-...
             |       ^   |         |        ^    |
             |       |   |         |        |    |
             |     Class-|---------|---->(Class)-|-...
             |       ^   |         |        ^    |
             |       +---+         |        +----+
             |                     |
obj--->OtherClass---------->(OtherClass)-----------...

    "
ClosedQueueError,"
      
    "
Complex,"
      
A complex number can be represented as a paired real number with imaginary
unit; a+bi.  Where a is real part, b is imaginary part and i is imaginary
unit.  Real a equals complex a+0i mathematically.

Complex object can be created as literal, and
also by using Kernel#Complex, ::rect, ::polar or #to_c method.

2+1i                 #=> (2+1i)
Complex(1)           #=> (1+0i)
Complex(2, 3)        #=> (2+3i)
Complex.polar(2, 3)  #=> (-1.9799849932008908+0.2822400161197344i)
3.to_c               #=> (3+0i)

You can also create complex object from floating-point numbers or strings.

Complex(0.3)         #=> (0.3+0i)
Complex('0.3-0.5i')  #=> (0.3-0.5i)
Complex('2/3+3/4i')  #=> ((2/3)+(3/4)*i)
Complex('1@2')       #=> (-0.4161468365471424+0.9092974268256817i)

0.3.to_c             #=> (0.3+0i)
'0.3-0.5i'.to_c      #=> (0.3-0.5i)
'2/3+3/4i'.to_c      #=> ((2/3)+(3/4)*i)
'1@2'.to_c           #=> (-0.4161468365471424+0.9092974268256817i)


A complex object is either an exact or an inexact number.

Complex(1, 1) / 2    #=> ((1/2)+(1/2)*i)
Complex(1, 1) / 2.0  #=> (0.5+0.5i)


    "
Complex::compatible,"
      
    "
ConditionVariable,"
      
ConditionVariable objects augment
class Mutex. Using condition variables, it is possible to suspend while in
the middle of a critical section until a resource becomes available.

Example:

require 'thread'

mutex = Mutex.new
resource = ConditionVariable.new

a = Thread.new {
   mutex.synchronize {
     # Thread 'a' now needs the resource
     resource.wait(mutex)
     # 'a' can now have the resource
   }
}

b = Thread.new {
   mutex.synchronize {
     # Thread 'b' has finished using the resource
     resource.signal
   }
}


    "
