class_name,method_array_list
ARGF,"[""#argv"", ""#binmode"", ""#binmode?"", ""#bytes"", ""#chars"", ""#close"", ""#closed?"", ""#codepoints"", ""#each"", ""#each_byte"", ""#each_char"", ""#each_codepoint"", ""#each_line"", ""#eof"", ""#eof?"", ""#external_encoding"", ""#file"", ""#filename"", ""#fileno"", ""#getbyte"", ""#getc"", ""#gets"", ""#inplace_mode"", ""#inplace_mode="", ""#inspect"", ""#internal_encoding"", ""#lineno"", ""#lineno="", ""#lines"", ""#path"", ""#pos"", ""#pos="", ""#print"", ""#printf"", ""#putc"", ""#puts"", ""#read"", ""#read_nonblock"", ""#readbyte"", ""#readchar"", ""#readline"", ""#readlines"", ""#readpartial"", ""#rewind"", ""#seek"", ""#set_encoding"", ""#skip"", ""#tell"", ""#to_a"", ""#to_i"", ""#to_io"", ""#to_s"", ""#to_write_io"", ""#write""]"
ArgumentError,"[""none""]"
Array,"[""::[]"", ""::new"", ""::try_convert"", ""#&"", ""#*"", ""#+"", ""#-"", ""#<<"", ""#<=>"", ""#=="", ""#[]"", ""#[]="", ""#any?"", ""#append"", ""#assoc"", ""#at"", ""#bsearch"", ""#bsearch_index"", ""#clear"", ""#collect"", ""#collect!"", ""#combination"", ""#compact"", ""#compact!"", ""#concat"", ""#count"", ""#cycle"", ""#delete"", ""#delete_at"", ""#delete_if"", ""#dig"", ""#drop"", ""#drop_while"", ""#each"", ""#each_index"", ""#empty?"", ""#eql?"", ""#fetch"", ""#fill"", ""#find_index"", ""#first"", ""#flatten"", ""#flatten!"", ""#frozen?"", ""#hash"", ""#include?"", ""#index"", ""#initialize_copy"", ""#insert"", ""#inspect"", ""#join"", ""#keep_if"", ""#last"", ""#length"", ""#map"", ""#map!"", ""#max"", ""#min"", ""#pack"", ""#permutation"", ""#pop"", ""#prepend"", ""#product"", ""#push"", ""#rassoc"", ""#reject"", ""#reject!"", ""#repeated_combination"", ""#repeated_permutation"", ""#replace"", ""#reverse"", ""#reverse!"", ""#reverse_each"", ""#rindex"", ""#rotate"", ""#rotate!"", ""#sample"", ""#select"", ""#select!"", ""#shift"", ""#shuffle"", ""#shuffle!"", ""#size"", ""#slice"", ""#slice!"", ""#sort"", ""#sort!"", ""#sort_by!"", ""#sum"", ""#take"", ""#take_while"", ""#to_a"", ""#to_ary"", ""#to_h"", ""#to_s"", ""#transpose"", ""#uniq"", ""#uniq!"", ""#unshift"", ""#values_at"", ""#zip"", ""#|""]"
BasicObject,"[""::new"", ""#!"", ""#!="", ""#=="", ""#__id__"", ""#__send__"", ""#equal?"", ""#instance_eval"", ""#instance_exec"", ""#method_missing"", ""#singleton_method_added"", ""#singleton_method_removed"", ""#singleton_method_undefined""]"
Binding,"[""#eval"", ""#irb"", ""#local_variable_defined?"", ""#local_variable_get"", ""#local_variable_set"", ""#local_variables"", ""#receiver""]"
Class,"[""::new"", ""#allocate"", ""#inherited"", ""#new"", ""#superclass""]"
ClosedQueueError,"[""none""]"
Complex,"[""CLASS Complex::compatible"", ""::polar"", ""::rect"", ""::rectangular"", ""#*"", ""#**"", ""#+"", ""#-"", ""#-@"", ""#/"", ""#=="", ""#abs"", ""#abs2"", ""#angle"", ""#arg"", ""#conj"", ""#conjugate"", ""#denominator"", ""#fdiv"", ""#finite?"", ""#imag"", ""#imaginary"", ""#infinite?"", ""#inspect"", ""#magnitude"", ""#numerator"", ""#phase"", ""#polar"", ""#quo"", ""#rationalize"", ""#real"", ""#real?"", ""#rect"", ""#rectangular"", ""#to_c"", ""#to_f"", ""#to_i"", ""#to_r"", ""#to_s""]"
Complex::compatible,"[""none""]"
ConditionVariable,"[""::new"", ""#broadcast"", ""#signal"", ""#wait""]"
Continuation,"[""#[]"", ""#call""]"
Data,"[""none""]"
Dir,"[""::[]"", ""::chdir"", ""::chroot"", ""::delete"", ""::empty?"", ""::entries"", ""::exist?"", ""::exists?"", ""::foreach"", ""::getwd"", ""::glob"", ""::home"", ""::mkdir"", ""::new"", ""::open"", ""::pwd"", ""::rmdir"", ""::unlink"", ""#close"", ""#each"", ""#fileno"", ""#inspect"", ""#path"", ""#pos"", ""#pos="", ""#read"", ""#rewind"", ""#seek"", ""#tell"", ""#to_path""]"
ENV,"[""::[]"", ""::[]="", ""::assoc"", ""::clear"", ""::delete"", ""::delete_if"", ""::each"", ""::each_key"", ""::each_pair"", ""::each_value"", ""::empty?"", ""::fetch"", ""::has_key?"", ""::has_value?"", ""::include?"", ""::index"", ""::inspect"", ""::invert"", ""::keep_if"", ""::key"", ""::key?"", ""::keys"", ""::length"", ""::member?"", ""::rassoc"", ""::rehash"", ""::reject"", ""::reject!"", ""::replace"", ""::select"", ""::select!"", ""::shift"", ""::size"", ""::store"", ""::to_a"", ""::to_h"", ""::to_hash"", ""::to_s"", ""::update"", ""::value?"", ""::values"", ""::values_at""]"
EOFError,"[""none""]"
Encoding,"[""CLASS Encoding::CompatibilityError"", ""CLASS Encoding::Converter"", ""CLASS Encoding::ConverterNotFoundError"", ""CLASS Encoding::InvalidByteSequenceError"", ""CLASS Encoding::UndefinedConversionError"", ""::aliases"", ""::compatible?"", ""::default_external"", ""::default_external="", ""::default_internal"", ""::default_internal="", ""::find"", ""::list"", ""::locale_charmap"", ""::name_list"", ""#ascii_compatible?"", ""#dummy?""]"
Encoding::CompatibilityError,"[""none""]"
Encoding::Converter,"[""::asciicompat_encoding"", ""::new"", ""::search_convpath"", ""#=="", ""#convert"", ""#convpath"", ""#destination_encoding"", ""#finish"", ""#insert_output"", ""#inspect"", ""#last_error"", ""#primitive_convert"", ""#primitive_errinfo"", ""#putback"", ""#replacement"", ""#replacement="", ""#source_encoding""]"
Encoding::ConverterNotFoundError,"[""none""]"
Encoding::InvalidByteSequenceError,"[""#destination_encoding"", ""#destination_encoding_name"", ""#error_bytes"", ""#incomplete_input?"", ""#readagain_bytes"", ""#source_encoding"", ""#source_encoding_name""]"
Encoding::UndefinedConversionError,"[""#destination_encoding"", ""#destination_encoding_name"", ""#error_char"", ""#source_encoding"", ""#source_encoding_name""]"
EncodingError,"[""none""]"
Enumerator,"[""CLASS Enumerator::Generator"", ""CLASS Enumerator::Lazy"", ""CLASS Enumerator::Yielder"", ""::new"", ""#each"", ""#each_with_index"", ""#each_with_object"", ""#feed"", ""#inspect"", ""#next"", ""#next_values"", ""#peek"", ""#peek_values"", ""#rewind""]"
Enumerator::Generator,"[""none""]"
Enumerator::Lazy,"[""::new"", ""#chunk"", ""#chunk_while"", ""#collect"", ""#collect_concat"", ""#drop"", ""#drop_while"", ""#enum_for"", ""#find_all"", ""#flat_map"", ""#grep"", ""#grep_v"", ""#lazy"", ""#map"", ""#reject"", ""#select"", ""#slice_after"", ""#slice_before"", ""#slice_when"", ""#take"", ""#take_while"", ""#to_enum"", ""#uniq"", ""#zip""]"
Enumerator::Yielder,"[""none""]"
Exception,"[""::exception"", ""::new"", ""#=="", ""#backtrace"", ""#backtrace_locations"", ""#cause"", ""#exception"", ""#inspect"", ""#message"", ""#set_backtrace"", ""#to_s""]"
FalseClass,"[""#&"", ""#==="", ""#^"", ""#inspect"", ""#to_s"", ""#|""]"
Fiber,"[""::current"", ""::yield"", ""#alive?"", ""#resume"", ""#transfer""]"
FiberError,"[""none""]"
File,"[""CLASS File::Stat"", ""::absolute_path"", ""::atime"", ""::basename"", ""::birthtime"", ""::blockdev?"", ""::chardev?"", ""::chmod"", ""::chown"", ""::ctime"", ""::delete"", ""::directory?"", ""::dirname"", ""::empty?"", ""::executable?"", ""::executable_real?"", ""::exist?"", ""::exists?"", ""::expand_path"", ""::extname"", ""::file?"", ""::fnmatch"", ""::fnmatch?"", ""::ftype"", ""::grpowned?"", ""::identical?"", ""::join"", ""::lchmod"", ""::lchown"", ""::link"", ""::lstat"", ""::mkfifo"", ""::mtime"", ""::new"", ""::open"", ""::owned?"", ""::path"", ""::pipe?"", ""::readable?"", ""::readable_real?"", ""::readlink"", ""::realdirpath"", ""::realpath"", ""::rename"", ""::setgid?"", ""::setuid?"", ""::size"", ""::size?"", ""::socket?"", ""::split"", ""::stat"", ""::sticky?"", ""::symlink"", ""::symlink?"", ""::truncate"", ""::umask"", ""::unlink"", ""::utime"", ""::world_readable?"", ""::world_writable?"", ""::writable?"", ""::writable_real?"", ""::zero?"", ""#atime"", ""#birthtime"", ""#chmod"", ""#chown"", ""#ctime"", ""#flock"", ""#lstat"", ""#mtime"", ""#path"", ""#size"", ""#to_path""]"
